Описание;Цена;Рейтинг;Ссылка
Смартфон Huawei Pura 70 12/256Gb,  ADY-LX9,  белый;59990₽;5;https://www.citilink.ru/product/smartfon-huawei-pura70-ady-lx9-256gb-12gb-belyi-3g-4g-6-67-1080x2400-a-2021538/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  темно-синий;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-temno-sinii-3g-4g-6-2011558/
Смартфон Huawei Pura 70 12/256Gb,  ADY-LX9,  черный;59990₽;4.8;https://www.citilink.ru/product/smartfon-huawei-pura70-ady-lx9-256gb-12gb-chernyi-3g-4g-6-67-1080x2400-2021539/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  темно-синий;34990₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-temno-sinii-3g-4g-6-2011550/
Смартфон Xiaomi Poco M6 8/256Gb,  черный;14490₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-chernyi-3g-4g-2sim-6-79-ips-1080x240-2027555/
Смартфон Xiaomi Redmi 13C 8/256Gb,  черный;15990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-8-256gb-chernyi-1992871/
Смартфон ITEL P65 6/256Gb,  P671LN,  черный;13990₽;5;https://www.citilink.ru/product/smartfon-itel-p65-p671ln-256gb-6gb-chernyi-3g-4g-2sim-6-67-ips-720x160-2052186/
Смартфон INFINIX Hot 50 6/256Gb,  X6882,  серый титан;16990₽;;https://www.citilink.ru/product/smartfon-infinix-hot-50-x6882-256gb-6gb-seryi-titan-3g-4g-6-8-and-802-2048863/
Смартфон Xiaomi Redmi Note 13 6/128Gb,  черный;18490₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-6-128gb-chernyi-2002375/
Смартфон Xiaomi Poco C61 3/64Gb,  черный;5990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c61-64gb-3gb-chernyi-3g-4g-2sim-6-78-ips-720x1600-2054869/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  голубой;20990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-sinii-2002382/
Смартфон Xiaomi Redmi 12 8/256Gb,  серебристый;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-serebristyi-1942866/
Смартфон INFINIX Zero 40 5G 12/512Gb,  X6861,  титановый;42990₽;;https://www.citilink.ru/product/smartfon-infinix-zero-40-5g-x6861-512gb-12gb-titan-3g-4g-6-78-and14-80-2052879/
Смартфон Xiaomi Poco C65 8/256Gb,  черный;12490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c65-8-256gb-chernyi-1992830/
Смартфон Xiaomi Poco M6 8/256Gb,  фиолетовый;14490₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-fioletovyi-3g-4g-2sim-6-79-ips-1080x-2027558/
Смартфон Xiaomi Redmi 12 8/256Gb,  голубой;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-goluboi-1942864/
Смартфон Apple iPhone 13 128Gb,  A2633,  сияющая звезда;63690₽;4.9;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-siyayuschaya-zvezda-1901131/
Смартфон Xiaomi Redmi 13C 8/256Gb,  синий;15990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-8-256gb-sinii-1992873/
Смартфон REALME Note 50 3/64Gb,  RMX3834,  черный;6990₽;4.7;https://www.citilink.ru/product/smartfon-realme-note-50-3-64gb-rmx3834-chernyi-2003598/
Смартфон Xiaomi Poco M6 8/256Gb,  серебристый;14490₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-serebristyi-3g-4g-2sim-6-79-ips-1080-2027557/
Смартфон REALME C61 6/128Gb,  RMX3930,  зеленый;10990₽;4.9;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-128gb-6gb-zelenyi-3g-4g-2sim-6-75-ips-720x-2047014/
Смартфон Xiaomi Redmi 12 8/256Gb,  черный;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-chernyi-1942868/
Смартфон Xiaomi Redmi 13C 4/128Gb,  белый;12990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-belyi-1992863/
Смартфон REALME C65 6/128 Gb,  RMX3910,  черный;12999₽;5;https://www.citilink.ru/product/smartfon-realme-c65-rmx3910-128gb-6gb-chernyi-3g-4g-2sim-6-67-ips-720x-2048253/
Смартфон Xiaomi Poco X6 5G 8/256Gb,  черный;24990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-8-256gb-chernyi-2001147/
Смартфон REALME C61 8/256Gb,  RMX3930,  зеленый;12499₽;4.4;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-256gb-8gb-zelenyi-3g-4g-2sim-6-75-ips-720x-2047018/
Смартфон Apple iPhone 13 128Gb,  A2633,  розовый;63690₽;4.8;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-rozovyi-1901135/
Смартфон Xiaomi Redmi 13C 4/128Gb,  синий;12990₽;4.5;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-sinii-1992866/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  лаванда;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-lavanda-3g-4g-6-6-10-2011568/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  лаванда;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-goluboi-3g-4g-6-6-10-2011869/
Смартфон Xiaomi Poco C75 8/256Gb,  зеленый;12990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c75-256gb-8gb-zelenyi-3g-4g-2sim-6-88-ips-1640x72-2062031/
Смартфон Xiaomi Poco X6 5G 12/256Gb,  черный;31990₽;4.6;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-5g-12-256gb-chernyi-2001150/
Смартфон Samsung Galaxy A35 5G 8/128Gb,  SM-A356E,  темно-синий;27990₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-128gb-8gb-temno-sinii-3g-4g-6-2011482/
Смартфон Samsung Galaxy S24 8/256Gb,  SM-S921B,  черный;82990₽;4.8;https://www.citilink.ru/product/smartfon-samsung-galaxy-s24-5g-8-256gb-sm-s921b-chernyi-2000113/
Смартфон Xiaomi Redmi 13C 4/128Gb,  черный;12990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-4-128gb-chernyi-1992864/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  черный;20990₽;;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-chernyi-2002381/
Смартфон Samsung Galaxy A35 5G 8/256Gb,  SM-A356E,  темно-синий;31990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a35-5g-sm-a356e-256gb-8gb-temno-sinii-3g-4g-6-2011538/
Смартфон REALME C67 8/256 Gb,  RMX3890,  черный;19990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c67-8-256-gb-rmx3890-chernyi-2003616/
Смартфон Apple iPhone 15 Pro 128Gb,  A3104,  белый титан;120390₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-pro-128gb-a3104-belyi-titan-1991467/
Смартфон Xiaomi Poco F6 12/512Gb,  черный;45990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-f6-512gb-12gb-chernyi-3g-4g-2sim-6-67-amoled-1220-2027564/
Смартфон REALME C63 8/256 Gb,  RMX3939,  синий;16990₽;4.8;https://www.citilink.ru/product/smartfon-realme-c63-rmx3939-256gb-8gb-sinii-3g-4g-2sim-6-74-ips-720x16-2052555/
Смартфон Xiaomi Poco X6 Pro 5G 12/512Gb,  черный;39990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-x6-pro-5g-12-512gb-chernyi-2002384/
Смартфон Apple iPhone 13 128Gb,  A2633,  темная ночь;63690₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-13-128gb-a2633-temnaya-noch-1912378/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  зеленый;20990₽;4.4;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-zelenyi-2002383/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  темно-синий;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-temno-sinii-3g-4g-6-2011867/
Смартфон REALME C61 8/256Gb,  RMX3930,  золотой;12499₽;5;https://www.citilink.ru/product/smartfon-realme-c61-rmx3930-256gb-8gb-zolotistyi-3g-4g-2sim-6-75-ips-7-2047017/
Смартфон Samsung Galaxy A05s 4/64Gb,  SM-A057F,  черный;10490₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a05s-4-64gb-sm-a057f-chernyi-1985070/
Смартфон Apple iPhone 15 128Gb,  A3090,  розовый;85390₽;5;https://www.citilink.ru/product/smartfon-apple-iphone-15-128gb-a3090-rozovyi-1982730/
Смартфон Huawei Pura 70 12/256Gb,  ADY-LX9,  белый;59990₽;5;https://www.citilink.ru/product/smartfon-huawei-pura70-ady-lx9-256gb-12gb-belyi-3g-4g-6-67-1080x2400-a-2021538/
Смартфон Samsung Galaxy A55 5G 8/256Gb,  SM-A556E,  темно-синий;38990₽;5;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-256gb-8gb-temno-sinii-3g-4g-6-2011558/
Смартфон Huawei Pura 70 12/256Gb,  ADY-LX9,  черный;59990₽;4.8;https://www.citilink.ru/product/smartfon-huawei-pura70-ady-lx9-256gb-12gb-chernyi-3g-4g-6-67-1080x2400-2021539/
Смартфон Samsung Galaxy A55 5G 8/128Gb,  SM-A556E,  темно-синий;34990₽;4.9;https://www.citilink.ru/product/smartfon-samsung-galaxy-a55-5g-sm-a556e-128gb-8gb-temno-sinii-3g-4g-6-2011550/
Смартфон Xiaomi Poco M6 8/256Gb,  черный;14490₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-poco-m6-256gb-8gb-chernyi-3g-4g-2sim-6-79-ips-1080x240-2027555/
Смартфон Xiaomi Redmi 13C 8/256Gb,  черный;15990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-13c-8-256gb-chernyi-1992871/
Смартфон ITEL P65 6/256Gb,  P671LN,  черный;13990₽;5;https://www.citilink.ru/product/smartfon-itel-p65-p671ln-256gb-6gb-chernyi-3g-4g-2sim-6-67-ips-720x160-2052186/
Смартфон INFINIX Hot 50 6/256Gb,  X6882,  серый титан;16990₽;;https://www.citilink.ru/product/smartfon-infinix-hot-50-x6882-256gb-6gb-seryi-titan-3g-4g-6-8-and-802-2048863/
Смартфон Xiaomi Redmi Note 13 6/128Gb,  черный;18490₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-6-128gb-chernyi-2002375/
Смартфон Xiaomi Poco C61 3/64Gb,  черный;5990₽;5;https://www.citilink.ru/product/smartfon-xiaomi-poco-c61-64gb-3gb-chernyi-3g-4g-2sim-6-78-ips-720x1600-2054869/
Смартфон Xiaomi Redmi Note 13 8/256Gb,  голубой;20990₽;4.8;https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-13-8-256gb-sinii-2002382/
Смартфон Xiaomi Redmi 12 8/256Gb,  серебристый;14990₽;4.9;https://www.citilink.ru/product/smartfon-xiaomi-redmi-12-8-256gb-serebristyi-1942866/
